text,label
"Harsh, 2025-03-20T13:45:00Z, 2025-03-20T13:45:02Z => No, no, I came here for my engineering itself.",-1
"Srinivas Guddanti, 2025-03-20T13:45:00Z, 2025-03-20T13:45:05Z => And… like so you're born brought up in Bihar and like schooling all and beyond.",-1
"Harsh, 2025-03-20T13:45:04Z, 2025-03-20T13:45:08Z => Yes, tell my 10th I was in Bihar. 11th 12th I did from Kota.",-1
"Srinivas Guddanti, 2025-03-20T13:45:08Z, 2025-03-20T13:45:18Z => So quota is it like the JE coaching Okay, how is that like?",-1
"Harsh, 2025-03-20T13:45:08Z, 2025-03-20T13:45:13Z => And after that, yeah. Kind of.",-1
"Harsh, 2025-03-20T13:45:13Z, 2025-03-20T13:45:36Z => For my day preparation. Sir, it was No, actually, actually, sir, I feel that the kind of environment like what i felt uh the kind of environment which you get in quota I have not failed anything like there any place at any place like I spent four years here no",-1
"Srinivas Guddanti, 2025-03-20T13:45:18Z, 2025-03-20T13:45:25Z => It's like a factory that I hear quota is a factory",-1
"Srinivas Guddanti, 2025-03-20T13:45:26Z, 2025-03-20T13:45:32Z => Yeah.",-1
"Harsh, 2025-03-20T13:45:36Z, 2025-03-20T13:45:42Z => There was a different environment only like i was I'm a big fan of quota, sir, to be honest.",-1
"Srinivas Guddanti, 2025-03-20T13:45:41Z, 2025-03-20T13:45:47Z => Really? What got you there? What attracted you there?",-1
"Harsh, 2025-03-20T13:45:42Z, 2025-03-20T13:45:49Z => Yeah, sir. I'm a big fan.",-1
"Harsh, 2025-03-20T13:45:47Z, 2025-03-20T13:46:06Z => Like… there was a kind of competitiveness And like you see people who are like Yeah, they are struggling in their life, but still they put all their efforts and all to achieve something good in their life they study they work very hard",-1
"Srinivas Guddanti, 2025-03-20T13:46:03Z, 2025-03-20T13:46:08Z => Nice. Hmm.",-1
"Harsh, 2025-03-20T13:46:07Z, 2025-03-20T13:46:10Z => So this kind of thing inspire you. So I took it in this manner, sir.",-1
"Srinivas Guddanti, 2025-03-20T13:46:08Z, 2025-03-20T13:46:31Z => Hmm. Awesome. Amazing for you to say that. I'm like super super impressed to hear you say that actually because your kids your age, I call you kid But… Kids your age… don't pick up that sort of uh ambience impact.",-1
"Harsh, 2025-03-20T13:46:12Z, 2025-03-20T13:46:17Z => Yeah. Yes.",-1
